component,production_class_count,production_loc,package_count,ca,ce,instability,weighted_incoming_dependency_count,weighted_outgoing_dependency_count,fan_in,fan_out,internal_class_dependency_count,internal_dependency_density,percentage_total_production_classes,percentage_total_production_loc,degree_centrality
adapters,10,400,5,0,2,1.0,0,30,0,30,0,0.0,6.993007,3.332223,0.142857
application,6,140,1,0,4,1.0,0,21,0,21,5,0.166667,4.195804,1.166278,0.285714
cart,4,496,1,0,2,1.0,0,12,0,12,0,0.0,2.797203,4.131956,0.142857
catalog,4,496,1,1,2,0.666667,11,12,11,12,0,0.0,2.797203,4.131956,0.214286
configuration,2,248,1,1,2,0.666667,11,6,11,6,0,0.0,1.398601,2.065978,0.214286
customer,4,496,1,1,2,0.666667,11,12,11,12,0,0.0,2.797203,4.131956,0.214286
delivery,4,496,1,0,2,1.0,0,12,0,12,0,0.0,2.797203,4.131956,0.142857
experimentalpromotions,12,527,4,2,5,0.714286,14,56,14,56,11,0.083333,8.391608,4.390203,0.5
fraud,4,496,1,0,2,1.0,0,12,0,12,0,0.0,2.797203,4.131956,0.142857
megacomponent,49,6076,7,2,2,0.5,16,147,16,147,0,0.0,34.265734,50.616461,0.285714
model,24,282,1,14,0,0.0,226,0,226,0,12,0.021739,16.783217,2.349217,1.0
ordercore,12,1020,1,1,2,0.666667,1,36,1,36,0,0.0,8.391608,8.497168,0.214286
returns,4,496,1,0,2,1.0,0,12,0,12,0,0.0,2.797203,4.131956,0.142857
shared,2,87,1,9,1,0.1,77,4,77,4,1,0.5,1.398601,0.724758,0.714286
utilities,2,248,1,1,2,0.666667,11,6,11,6,0,0.0,1.398601,2.065978,0.214286
