"class_name","source_file","module","component","package","loc","outgoing_dependency_count","incoming_dependency_count","public_type_count","method_count"
"com.dsarp.shop.adapters.audit.InMemoryAuditStore","shop-adapters/src/main/java/com/dsarp/shop/adapters/audit/InMemoryAuditStore.java","shop-adapters","adapters","com.dsarp.shop.adapters.audit","40","3","0","1","6"
"com.dsarp.shop.adapters.delivery.InMemoryDeliveryGateway","shop-adapters/src/main/java/com/dsarp/shop/adapters/delivery/InMemoryDeliveryGateway.java","shop-adapters","adapters","com.dsarp.shop.adapters.delivery","40","3","0","1","6"
"com.dsarp.shop.adapters.notification.ConsoleNotificationAdapter","shop-adapters/src/main/java/com/dsarp/shop/adapters/notification/ConsoleNotificationAdapter.java","shop-adapters","adapters","com.dsarp.shop.adapters.notification","40","3","0","1","6"
"com.dsarp.shop.adapters.notification.RecordingNotificationAdapter","shop-adapters/src/main/java/com/dsarp/shop/adapters/notification/RecordingNotificationAdapter.java","shop-adapters","adapters","com.dsarp.shop.adapters.notification","40","3","0","1","6"
"com.dsarp.shop.adapters.payment.DeterministicFraudGateway","shop-adapters/src/main/java/com/dsarp/shop/adapters/payment/DeterministicFraudGateway.java","shop-adapters","adapters","com.dsarp.shop.adapters.payment","40","3","0","1","6"
"com.dsarp.shop.adapters.payment.InMemoryPaymentGateway","shop-adapters/src/main/java/com/dsarp/shop/adapters/payment/InMemoryPaymentGateway.java","shop-adapters","adapters","com.dsarp.shop.adapters.payment","40","3","0","1","6"
"com.dsarp.shop.adapters.repository.InMemoryCatalogRepository","shop-adapters/src/main/java/com/dsarp/shop/adapters/repository/InMemoryCatalogRepository.java","shop-adapters","adapters","com.dsarp.shop.adapters.repository","40","3","0","1","6"
"com.dsarp.shop.adapters.repository.InMemoryCustomerRepository","shop-adapters/src/main/java/com/dsarp/shop/adapters/repository/InMemoryCustomerRepository.java","shop-adapters","adapters","com.dsarp.shop.adapters.repository","40","3","0","1","6"
"com.dsarp.shop.adapters.repository.InMemoryInventoryRepository","shop-adapters/src/main/java/com/dsarp/shop/adapters/repository/InMemoryInventoryRepository.java","shop-adapters","adapters","com.dsarp.shop.adapters.repository","40","3","0","1","6"
"com.dsarp.shop.adapters.repository.InMemoryOrderRepository","shop-adapters/src/main/java/com/dsarp/shop/adapters/repository/InMemoryOrderRepository.java","shop-adapters","adapters","com.dsarp.shop.adapters.repository","40","3","0","1","6"
