"source","target","weight"
"adapters","megacomponent","10"
"adapters","model","20"
"application","experimentalpromotions","2"
"application","megacomponent","6"
"application","model","12"
"application","ordercore","1"
"cart","model","8"
"cart","shared","4"
"catalog","model","8"
"catalog","shared","4"
"configuration","model","4"
"configuration","shared","2"
"customer","model","8"
"customer","shared","4"
"delivery","model","8"
"delivery","shared","4"
"experimentalpromotions","catalog","11"
"experimentalpromotions","configuration","11"
"experimentalpromotions","customer","11"
"experimentalpromotions","model","12"
"experimentalpromotions","utilities","11"
"fraud","model","8"
"fraud","shared","4"
"megacomponent","model","98"
"megacomponent","shared","49"
"ordercore","experimentalpromotions","12"
"ordercore","model","24"
"returns","model","8"
"returns","shared","4"
"shared","model","4"
"utilities","model","4"
"utilities","shared","2"
